seed,gps_rmse,ekf_rmse,rejected_gps
396,5.26827240991171,0.28377597856442127,1726
397,5.436894242964586,0.28421886793268913,1836
398,5.4148684402061305,0.2775553920362934,1781
399,5.233778564595355,0.2782669739406081,1710
400,5.267926726907146,0.2788462602991041,1762
401,5.276137087718449,0.30474898718734783,1744
402,5.133597216385918,0.27951470535717504,1695
403,5.162197252989839,0.29575074650536315,1690
404,5.327138853354206,0.2784553276928185,1796
405,5.071354355994732,0.29164586489278627,1671
406,5.226631212557643,0.2855405572457356,1691
407,5.2172856988095795,0.2792982037732691,1723
408,5.223724952945615,0.2789033003168449,1755
409,5.229941274406592,0.2772153493786131,1720
410,5.3198512487897816,0.2927758109292985,1760
411,5.383129111944452,0.30440101751459775,1796
412,5.105076392673569,0.3141125194881401,1677
413,5.432022953919584,0.27875461048526073,1785
414,5.130158369681742,0.2828735674325098,1729
415,5.285614792115075,0.2779620013071679,1755
416,5.1716259439206205,3.162571667903887,1808
417,5.368427602475036,0.29193375324559506,1764
418,5.203937469315936,0.8424447268249591,1764
419,5.272913980096657,0.2813214130760626,1762
420,5.2419770691388665,0.2929951473071568,1768
421,5.305188192462467,0.2818751488515669,1746
422,5.278049114283409,0.3009694839361465,1752
423,5.185059814455922,0.2784660097085456,1675
424,5.248034895865881,0.27809953276214305,1744
425,5.051762074142502,0.278107740115365,1659
426,5.244495810480003,0.27823773912200145,1744
427,5.3849285458625165,0.2789396982914894,1798
428,5.242069473769463,0.2792206231454654,1710
429,5.228820534004348,0.3087877049768276,1727
430,5.236502040613951,0.2792352940417242,1692
431,5.3955937032193395,0.29017464739286136,1764
432,5.349077827097632,0.277866795526531,1806
433,5.224782752338979,0.3029361227467446,1786
434,5.246705397116067,0.3011938585568929,1754
435,5.279723403425092,0.277200551998562,1784
436,5.267937994179696,0.2778683513584976,1781
437,5.2335056699899685,0.2778228380500652,1711
438,5.245586301074495,0.28880134835239624,1750
439,5.259257292258901,0.2774247747744346,1688
440,5.1816360215252715,0.2886818420192995,1751
441,5.105505797173706,0.29029099593341207,1713
442,5.372047221730347,0.2779184489803616,1768
443,5.125532823836601,0.2782707206562636,1684
444,5.296292678131768,0.2819720498581729,1762
445,5.391253624816984,0.30271452339650834,1802
446,5.127724060848164,0.277651332637553,1686
447,5.273220815135001,0.28039480561701047,1750
448,5.33717652094848,0.27817340084371406,1725
449,5.174782459893906,0.27834517637097056,1700
450,5.142044031563433,0.2772651679291487,1672
451,5.183776696670671,0.2792429267395498,1731
452,5.049449520877512,0.27900738816947923,1651
453,5.353220374598954,0.278937924739831,1815
454,5.147605208254841,0.2785121228904747,1706
455,5.267868661697027,0.27927421025812504,1738
456,5.220430505978648,0.3062710881901647,1745
457,5.317645281647952,0.2775919468284518,1769
